case_id,label,arm,pair_id,groups,direction_fit_px,axis,coordinates,enumerated,supported,supported_and_players,distinct,kept,cap_threshold_score,nearest_kept_by_kept_px,nearest_distinct_by_distinct_px,best_enumerated_px,best_supported_px,best_supported_and_players_px,best_distinct_px,best_kept_px,best_enumerated_rank,best_supported_rank,best_supported_and_players_rank,best_distinct_rank,best_kept_rank
shuttleset_03_scene_0019,SS03-19,paint_person,1,0 2,3.2381,vertical,6,42930,32066,10810,4800,512,0.6051,6.3335,3.7441,3.4119,3.4119,3.4119,3.4119,6.4431,-1,-1,-1,541,24
shuttleset_03_scene_0019,SS03-19,paint_observations,1,0 2,2.2689,horizontal,5,1560,288,286,150,150,0.4105,3.134,3.134,2.747,2.747,2.747,3.1899,3.1899,-1,-1,-1,4,4
shuttleset_03_scene_0019,SS03-19,paint_observations,1,0 2,2.2689,vertical,6,47880,35892,12682,5640,512,0.6335,3.134,3.134,2.8538,2.8538,2.8538,2.8774,2.8774,-1,-1,-1,70,70
shuttleset_03_scene_0019,SS03-19,person_observations,1,0 2,2.2689,horizontal,5,4200,1096,1056,584,512,0.4126,3.134,3.134,2.747,2.747,2.747,3.1899,3.1899,-1,-1,-1,6,6
shuttleset_03_scene_0019,SS03-19,person_observations,1,0 2,2.2689,vertical,6,70380,56136,19942,8761,512,0.6974,3.134,3.134,2.8774,2.8774,2.8774,2.8774,2.8774,1466,1466,1466,1466,368
shuttleset_03_scene_0016,SS03-16,baseline,1,0 2,1.5011,horizontal,5,5520,1932,1812,962,512,0.5118,2.3283,2.3283,2.359,2.359,2.359,2.359,2.359,32,32,32,32,32
shuttleset_03_scene_0016,SS03-16,baseline,1,0 2,1.5011,vertical,6,60480,47168,18098,8358,512,0.6826,2.3283,2.3283,1.4917,1.4917,1.4917,1.531,1.531,-1,-1,-1,167,167
shuttleset_03_scene_0016,SS03-16,person,1,0 2,5.0816,horizontal,5,5520,1968,1848,1036,512,0.5217,28.1372,5.1891,5.0915,5.0915,5.0915,5.0915,5.0915,7,7,7,7,7
shuttleset_03_scene_0016,SS03-16,person,1,0 2,5.0816,vertical,6,53100,39684,16114,6672,512,0.6028,28.1372,5.1891,4.9479,4.9479,4.9479,5.18,28.5165,-1,-1,-1,857,417
shuttleset_03_scene_0016,SS03-16,paint,1,0 2,2.0264,horizontal,5,2400,658,630,358,358,0.3441,2.6792,2.6792,2.9722,2.9722,2.9722,2.9722,2.9722,7,7,7,7,7
shuttleset_03_scene_0016,SS03-16,paint,1,0 2,2.0264,vertical,6,46200,35932,13232,6134,512,0.6528,2.6792,2.6792,2.1804,2.1804,2.1804,2.2481,2.2481,-1,-1,-1,6,6
shuttleset_03_scene_0016,SS03-16,paint_person,1,0 2,2.0299,horizontal,5,2400,658,630,360,360,0.3436,3.0936,3.0936,2.9707,2.9707,2.9707,2.9707,2.9707,7,7,7,7,7
shuttleset_03_scene_0016,SS03-16,paint_person,1,0 2,2.0299,vertical,6,44550,34480,12468,5660,512,0.6467,3.0936,3.0936,2.2214,2.2214,2.2214,2.4771,2.4771,-1,-1,-1,2,2
shuttleset_03_scene_0016,SS03-16,paint_observations,1,0 2,1.5011,horizontal,5,1820,440,436,234,234,0.3957,2.3283,2.3283,2.359,2.359,2.359,2.359,2.359,8,8,8,8,8
shuttleset_03_scene_0016,SS03-16,paint_observations,1,0 2,1.5011,vertical,6,35280,26472,10244,5002,512,0.6223,2.3283,2.3283,1.4917,1.4917,1.4917,1.531,1.531,-1,-1,-1,59,59
shuttleset_03_scene_0016,SS03-16,person_observations,1,0 2,1.5011,horizontal,5,5520,1932,1812,962,512,0.5118,3.712,2.3283,2.359,2.359,2.359,2.359,2.359,32,32,32,32,32
shuttleset_03_scene_0016,SS03-16,person_observations,1,0 2,1.5011,vertical,6,58590,45546,17196,8060,512,0.6739,3.712,2.3283,1.531,1.531,1.531,1.5725,3.6673,-1,-1,-1,523,196
shuttleset_21_scene_0020,SS21-20,baseline,0,0 1,1.0335,horizontal,5,8120,2678,2406,1230,512,0.5273,1.6483,1.6483,1.4025,1.4025,1.4025,1.4025,1.4025,0,0,0,0,0
shuttleset_21_scene_0020,SS21-20,baseline,0,0 1,1.0335,vertical,6,46200,35944,17918,9162,512,0.7292,1.6483,1.6483,1.6976,1.6976,1.6976,1.7864,1.7864,-1,-1,-1,26,26
shuttleset_21_scene_0020,SS21-20,person,0,0 1,4.4818,horizontal,5,8120,2662,2390,1228,512,0.534,27.9474,4.7828,4.7007,4.7007,4.7007,4.7231,4.7231,-1,-1,-1,6,6
shuttleset_21_scene_0020,SS21-20,person,0,0 1,4.4818,vertical,6,42930,32844,16962,7064,512,0.651,27.9474,4.7828,4.48,4.48,4.48,4.7598,28.3288,-1,-1,-1,1345,364
shuttleset_21_scene_0020,SS21-20,paint,31,2 1,12.2641,horizontal,5,1820,302,288,138,138,0.4114,13.579,13.579,11.7833,11.7833,11.7833,12.0273,12.0273,-1,-1,-1,95,95
shuttleset_21_scene_0020,SS21-20,paint,31,2 1,12.2641,vertical,6,3150,1296,570,266,266,0.3211,13.579,13.579,13.9739,14.1673,14.1673,14.1673,14.1673,-1,42,42,42,42
shuttleset_21_scene_0020,SS21-20,paint_person,31,2 1,12.2973,horizontal,5,1820,306,292,138,138,0.4117,13.5865,13.5865,11.7874,11.7874,11.7874,12.0716,12.0716,-1,-1,-1,90,90
shuttleset_21_scene_0020,SS21-20,paint_person,31,2 1,12.2973,vertical,6,3150,1296,570,266,266,0.3211,13.5865,13.5865,14.0081,14.2016,14.2016,14.2016,14.2016,-1,43,43,43,43
shuttleset_21_scene_0020,SS21-20,paint_observations,0,0 1,1.0335,horizontal,5,1820,338,324,158,158,0.4079,1.495,1.495,1.4025,1.4025,1.4025,1.4025,1.4025,0,0,0,0,0
shuttleset_21_scene_0020,SS21-20,paint_observations,0,0 1,1.0335,vertical,6,22230,14586,6980,3868,512,0.5896,1.495,1.495,1.7123,1.7123,1.7123,1.7125,1.7125,-1,-1,-1,6,6
shuttleset_21_scene_0020,SS21-20,person_observations,0,0 1,1.0335,horizontal,5,8120,2678,2406,1230,512,0.5273,1.6464,1.6464,1.4025,1.4025,1.4025,1.4025,1.4025,0,0,0,0,0
shuttleset_21_scene_0020,SS21-20,person_observations,0,0 1,1.0335,vertical,6,42930,33022,16612,8642,512,0.7125,1.6464,1.6464,1.7067,1.7067,1.7067,1.7844,1.7844,-1,-1,-1,30,30
