case_id,arm,pair_id,pencils,combined_count,valid_count,usable_count,gate2_usable_corners_equal,nearest_combined_px,nearest_combined_index,nearest_combined_valid,nearest_combined_usable,nearest_combined_player_any,nearest_combined_player_both_halves,nearest_valid_px,nearest_valid_index,nearest_valid_usable,nearest_valid_player_any,nearest_valid_player_both_halves,nearest_usable_px,nearest_usable_index,nearest_usable_post_gate_index,combined_within_5px,valid_within_5px,usable_within_5px,combined_within_20px,valid_within_20px,usable_within_20px
gxBQ_window_00_frame_0,M,186,12 6,262144,6518,6316,True,1648.5061659868857,229845,False,False,1.0,0.0,2732.0888701939866,47246,True,1.0,1.0,2732.0888701939866,47246,551,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,188,12 8,229376,71128,50816,True,258.8778671246608,83275,True,True,1.0,1.0,258.8778671246608,83275,True,1.0,1.0,258.8778671246608,83275,19178,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,189,12 9,262144,102986,86040,True,166.40150588723017,166235,True,True,1.0,1.0,166.40150588723017,166235,True,1.0,1.0,166.40150588723017,166235,52908,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,190,12 10,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,196,13 1,262144,104540,59840,True,251.75441531036162,115928,True,True,1.0,1.0,251.75441531036162,115928,True,1.0,1.0,251.75441531036162,115928,26332,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,198,13 3,262144,111342,95712,True,155.07387508818513,227492,True,True,1.0,0.8333333134651184,155.07387508818513,227492,True,1.0,0.8333333134651184,155.07387508818513,227492,81199,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,199,13 4,38912,18782,16826,True,150.02023116657813,19841,True,True,1.0,1.0,150.02023116657813,19841,True,1.0,1.0,150.02023116657813,19841,8826,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,201,13 6,262144,6388,6242,True,3363.199013484447,143478,False,False,0.0,0.0,3363.199013484447,192631,False,1.0,0.0,3600.035683451156,167030,3405,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,203,13 8,230400,81262,65496,True,216.51951451731014,225425,True,True,1.0,1.0,216.51951451731014,225425,True,1.0,1.0,216.51951451731014,225425,63524,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,204,13 9,262144,102104,85094,True,152.15209243942397,100231,True,True,1.0,1.0,152.15209243942397,100231,True,1.0,1.0,152.15209243942397,100231,27146,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,205,13 10,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,211,14 1,262144,106298,54466,True,242.3606502757628,125857,True,True,1.0,1.0,242.3606502757628,125857,True,1.0,1.0,242.3606502757628,125857,24639,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,213,14 3,262144,109188,93326,True,160.85900335110256,129690,True,True,1.0,1.0,160.85900335110256,129690,True,1.0,1.0,160.85900335110256,129690,43856,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,214,14 4,37888,17066,14944,True,172.2357308586121,16631,True,True,1.0,1.0,172.2357308586121,16631,True,1.0,1.0,172.2357308586121,16631,6680,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,216,14 6,262144,15316,15228,True,1407.703945074235,59440,False,False,1.0,1.0,1656.38150508189,59714,True,1.0,0.7333333492279053,1656.38150508189,59714,3285,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,218,14 8,228352,82244,62264,True,217.7673126948034,61845,True,True,1.0,1.0,217.7673126948034,61845,True,1.0,1.0,217.7673126948034,61845,17121,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,219,14 9,262144,102224,84974,True,156.70309525244053,101781,True,True,1.0,0.9333333373069763,156.70309525244053,101781,True,1.0,0.9333333373069763,156.70309525244053,101781,27681,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,220,14 10,0,0,0,True,,,,,,,,,,,,,,,,,,,,
gxBQ_window_00_frame_0,M,226,15 1,262144,75468,27768,True,270.3735769475047,172428,True,True,1.0,1.0,270.3735769475047,172428,True,1.0,1.0,270.3735769475047,172428,15945,0,0,0,0,0,0
gxBQ_window_00_frame_0,M,228,15 3,262144,80910,68986,True,150.03073130388037,224457,True,True,1.0,0.5,150.03073130388037,224457,True,1.0,0.5,150.03073130388037,224457,56276,0,0,0,0,0,0
